donor_id,gene_symbol,probe_id,detected_sample_count,total_sample_count,detection_rate
normalized_microarray_donor10021,KLHDC1,1035775,839,893,0.9395296752519597
normalized_microarray_donor10021,KLHDC1,1035776,891,893,0.9977603583426652
normalized_microarray_donor10021,KLHL7,1025738,886,893,0.9921612541993281
normalized_microarray_donor10021,KLHL7,1025739,889,893,0.9955207166853304
normalized_microarray_donor10021,KLHL7,1063321,855,893,0.9574468085106383
normalized_microarray_donor10021,KNTC1,1048212,797,893,0.8924972004479284
normalized_microarray_donor10021,KNTC1,1048213,840,893,0.9406494960806271
normalized_microarray_donor10021,KPNA1,1015121,891,893,0.9977603583426652
normalized_microarray_donor10021,KPNA1,1020579,857,893,0.9596864501679732
normalized_microarray_donor10021,KPNA3,1054722,893,893,1.0
normalized_microarray_donor10021,KPNA3,1054723,889,893,0.9955207166853304
normalized_microarray_donor10021,KRTCAP2,1033536,891,893,0.9977603583426652
normalized_microarray_donor10021,KRTCAP2,1033537,891,893,0.9977603583426652
normalized_microarray_donor10021,KTN1,1011820,893,893,1.0
normalized_microarray_donor10021,KTN1,1017307,891,893,0.9977603583426652
normalized_microarray_donor10021,KTN1,1054651,879,893,0.9843225083986562
normalized_microarray_donor10021,LAMP3,1044682,6,893,0.006718924972004479
normalized_microarray_donor10021,LAMP3,1044683,8,893,0.008958566629339306
normalized_microarray_donor10021,LHFPL2,1047730,891,893,0.9977603583426652
normalized_microarray_donor10021,LHFPL2,1047731,426,893,0.47704367301231804
normalized_microarray_donor10021,LINC00326,1012240,8,893,0.008958566629339306
normalized_microarray_donor10021,LINC00326,1017951,4,893,0.004479283314669653
normalized_microarray_donor10021,LMNA,1023738,891,893,0.9977603583426652
normalized_microarray_donor10021,LMNA,1023739,574,893,0.6427771556550952
normalized_microarray_donor10021,LMNA,1054551,890,893,0.9966405375139977
normalized_microarray_donor10021,LRP1B,1043072,889,893,0.9955207166853304
normalized_microarray_donor10021,LRP1B,1043073,886,893,0.9921612541993281
normalized_microarray_donor10021,LRP8,1024086,886,893,0.9921612541993281
normalized_microarray_donor10021,LRP8,1050104,891,893,0.9977603583426652
normalized_microarray_donor10021,LRP8,1050105,885,893,0.9910414333706606
normalized_microarray_donor10021,LRRC37A4P,1015072,884,893,0.9899216125419933
normalized_microarray_donor10021,LRRC37A4P,1015124,891,893,0.9977603583426652
normalized_microarray_donor10021,LRRC37A4P,1015247,891,893,0.9977603583426652
normalized_microarray_donor10021,LRRC37A4P,1015252,890,893,0.9966405375139977
normalized_microarray_donor10021,LRRC37A4P,1020297,891,893,0.9977603583426652
normalized_microarray_donor10021,LRRC37A4P,1022598,888,893,0.9944008958566629
normalized_microarray_donor10021,LRRC37A4P,1070359,613,893,0.6864501679731243
normalized_microarray_donor10021,LRRK2,1022614,891,893,0.9977603583426652
normalized_microarray_donor10021,LRRK2,1022615,854,893,0.9563269876819709
normalized_microarray_donor10021,LRRK2,1022616,619,893,0.6931690929451287
normalized_microarray_donor10021,LRRN2,1024046,891,893,0.9977603583426652
normalized_microarray_donor10021,LRRN2,1024047,131,893,0.14669652855543114
normalized_microarray_donor10021,LRRN2,1047393,229,893,0.2564389697648376
