probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,total_detected_samples,total_samples,overall_detection_rate,valid_gene_symbol,reliable_probe
1036038,A_24_P408603,77774,RAB39B,"RAB39B, member RAS oncogene family",116442.0,X,3698,3702,0.9989195029713668,True,True
1036037,CUST_316_PI416408490,77775,GRIN3A,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3A",116443.0,9,2760,3702,0.7455429497568882,True,True
1036036,CUST_13868_PI416261804,77775,GRIN3A,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3A",116443.0,9,904,3702,0.2441923284710967,True,False
1036035,A_23_P347541,77775,GRIN3A,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3A",116443.0,9,3664,3702,0.9897352782279849,True,True
1036034,CUST_12285_PI416261804,77778,TOP1MT,"topoisomerase (DNA) I, mitochondrial",116447.0,8,3391,3702,0.9159913560237709,True,True
1036033,A_24_P248053,77778,TOP1MT,"topoisomerase (DNA) I, mitochondrial",116447.0,8,3677,3702,0.9932468935710427,True,True
1036032,A_24_P297119,77779,OLIG1,oligodendrocyte transcription factor 1,116448.0,21,3292,3702,0.8892490545651,True,True
1036031,CUST_855_PI416573500,77780,CLNK,cytokine-dependent hematopoietic cell linker,116449.0,4,120,3702,0.03241491085899514,True,False
1036030,CUST_884_PI416379584,77780,CLNK,cytokine-dependent hematopoietic cell linker,116449.0,4,42,3702,0.011345218800648298,True,False
1036029,CUST_1001_PI416261804,77836,MAS1L,MAS1 oncogene-like,116511.0,6,2317,3702,0.6258779038357645,True,True
1036028,A_23_P214565,77836,MAS1L,MAS1 oncogene-like,116511.0,6,112,3702,0.030253916801728797,True,False
1036027,A_23_P127352,77837,MRGPRD,"MAS-related GPR, member D",116512.0,11,84,3702,0.022690437601296597,True,False
1036026,CUST_2090_PI416261804,77837,MRGPRD,"MAS-related GPR, member D",116512.0,11,3597,3702,0.9716369529983793,True,True
1036025,CUST_15984_PI416261804,77842,APOA5,apolipoprotein A-V,116519.0,11,317,3702,0.08562938951917883,True,False
1036024,A_23_P75630,77842,APOA5,apolipoprotein A-V,116519.0,11,68,3702,0.018368449486763912,True,False
1036023,A_24_P371194,77862,MRPL53,mitochondrial ribosomal protein L53,116540.0,2,3657,3702,0.9878444084278768,True,True
1036022,A_23_P102258,77862,MRPL53,mitochondrial ribosomal protein L53,116540.0,2,3702,3702,1.0,True,True
1036021,CUST_4680_PI416261804,77863,MRPL54,mitochondrial ribosomal protein L54,116541.0,19,3250,3702,0.8779038357644516,True,True
1036020,A_23_P101742,77863,MRPL54,mitochondrial ribosomal protein L54,116541.0,19,3696,3702,0.9983792544570502,True,True
1036019,A_23_P29594,78145,RPL39L,ribosomal protein L39-like,116832.0,3,3487,3702,0.9419232847109671,True,True
1036017,A_23_P91334,78147,HSPA12B,heat shock 70kD protein 12B,116835.0,20,3595,3702,0.9710967044840627,True,True
1036016,A_23_P9768,78152,CNTROB,"centrobin, centrosomal BRCA2 interacting protein",116840.0,17,3691,3702,0.9970286331712588,True,True
1036015,A_23_P9761,78152,CNTROB,"centrobin, centrosomal BRCA2 interacting protein",116840.0,17,3678,3702,0.993517017828201,True,True
1036014,CUST_11820_PI416261804,78153,SNAP47,"synaptosomal-associated protein, 47kDa",116841.0,1,3051,3702,0.8241491085899514,True,True
1036013,A_23_P393607,78153,SNAP47,"synaptosomal-associated protein, 47kDa",116841.0,1,3699,3702,0.9991896272285251,True,True
1036012,CUST_4849_PI416261804,78154,LEAP2,liver expressed antimicrobial peptide 2,116842.0,5,3427,3702,0.9257158292814694,True,True
1036011,A_24_P268993,78154,LEAP2,liver expressed antimicrobial peptide 2,116842.0,5,2699,3702,0.7290653700702323,True,True
1036010,CUST_1207_PI416261804,78155,C6orf192,"solute carrier family 18, subfamily B, member 1",116843.0,6,3696,3702,0.9983792544570502,True,True
1036009,A_23_P134113,78155,C6orf192,"solute carrier family 18, subfamily B, member 1",116843.0,6,3702,3702,1.0,True,True
1036008,CUST_85_PI416383280,78156,LRG1,leucine-rich alpha-2-glycoprotein 1,116844.0,19,72,3702,0.019448946515397084,True,False
1036007,A_23_P50638,78156,LRG1,leucine-rich alpha-2-glycoprotein 1,116844.0,19,1287,3702,0.34764991896272285,True,False
1036006,CUST_12507_PI416261804,78238,MED12L,mediator complex subunit 12-like,116931.0,3,3033,3702,0.8192868719611021,True,True
1036005,A_32_P701268,78238,MED12L,mediator complex subunit 12-like,116931.0,3,3300,3702,0.8914100486223663,True,True
1036004,CUST_7938_PI416261804,78274,ART5,ADP-ribosyltransferase 5,116969.0,11,3690,3702,0.9967585089141004,True,True
