structure_id,structure_acronym,structure_name,total_sample_count,number_of_donors
4495,LGd,"dorsal lateral geniculate nucleus, right",4,2
4080,fro,"frontal operculum, right",4,2
4891,FPi,"frontal pole, left, inferior aspect",4,1
4596,LHA,"lateral hypothalamic area, anterior region, left",4,4
13008,LHT,"lateral hypothalamic area, tuberal region, left",4,4
4675,LM,"lateral mammillary nucleus, left",4,4
10151,LTu,"lateral tuberal nucleus, left",4,4
9150,LC,"locus ceruleus, right",4,2
4292,Acb,"nucleus accumbens, right",4,2
4311,DBh,"nucleus of the diagonal band, left, vertical division",4,4
9156,SubC,"nucleus subceruleus, right",4,2
4203,OTG-s,"occipito-temporal gyrus, right, superior bank of gyrus",4,2
4537,Pa,"paraventricular nuclei, right of thalamus, right",4,2
9079,PTec,pretectal region,4,3
4304,SptN,"septal nuclei, right",4,2
4314,SI,"substantia innominata, right",4,2
4102,SPL-i,"superior parietal lobule, right, inferior bank of gyrus",4,2
4138,STG-l,"superior temporal gyrus, right, lateral bank of gyrus",4,1
4669,SuM,"supramammillary nucleus, left",4,4
4667,TM,"tuberomammillary nucleus, left",4,4
4772,He-Crus I,"Crus I, right, lateral hemisphere",3,2
4756,PV-Crus I,"Crus I, right, paravermis",3,2
4757,PV-Crus II,"Crus II, right, paravermis",3,2
4752,PV-IV,"IV, right, paravermis",3,2
4761,PV-IX,"IX, right, paravermis",3,2
4753,PV-V,"V, right, paravermis",3,2
4771,He-VI,"VI, right, lateral hemisphere",3,2
4755,PV-VI,"VI, right, paravermis",3,2
4758,PV-VIIB,"VIIB, right, paravermis",3,2
4759,PV-VIIIA,"VIIIA, right, paravermis",3,2
9138,6,"abducens nucleus, right",3,2
4644,ARH,"arcuate nucleus of the hypothalamus, left",3,3
4346,BLA,"basolateral nucleus, right",3,1
4355,BMA,"basomedial nucleus, right",3,1
10148,CGPo,"central gray of the pons, left",3,2
4233,CgGp-s,"cingulate gyrus, parietal part, right, superior bank of gyrus",3,2
4241,CgGr-i,"cingulate gyrus, retrosplenial part, right, inferior bank of gyrus",3,1
4190,Cun-str,"cuneus, right, striate",3,2
9144,7,"facial motor nucleus, right",3,2
4784,Fas,"fastigial nucleus, left",3,2
4890,FP-s,"frontal pole, left, superior aspect",3,2
4785,Glo,"globose nucleus, left",3,3
9555,Gr,"gracile nucleus, left",3,3
4043,opIFG,"inferior frontal gyrus, opercular part, right",3,2
4040,trIFG,"inferior frontal gyrus, triangular part, right",3,2
4211,IOG-i,"inferior occipital gyrus, right, inferior bank of gyrus",3,1
9153,MPB,"medial parabrachial nucleus,right",3,2
9031,3,"oculomotor nuclear complex, left",3,3
9039,3,"oculomotor nuclear complex, right",3,2
4597,PalHy,"pallidohypothalamic nucleus, left",3,3
10143,Pir,"piriform cortex, left",3,3
4179,PLP,"planum polare, right",3,2
4173,PLT,"planum temporale, right",3,2
4095,PoG-pcs,"postcentral gyrus, right, bank of the posterior central sulcus",3,2
4483,DTP,"posterior group of nuclei, right",3,2
4058,POrG,"posterior orbital gyrus, right",3,2
4017,PrG-prc,"precentral gyrus, right, bank of the precentral sulcus",3,2
9214,Pr5,"principal sensory nucleus of trigeminal nerve, right",3,2
9026,SubCn,"subcuneiform nucleus, right",3,2
4519,Sb,"subthalamic nucleus, right",3,2
4217,SOG-s,"superior occipital gyrus, right, superior bank of gyrus",3,2
4906,TP-s,"temporal pole, right, superior aspect",3,2
4170,TG,"transverse gyri, right",3,2
9064,4,"trochlear nucleus, left",3,2
9065,4,"trochlear nucleus, right",3,2
9068,VTA,"ventral tegmental area, right",3,2
9450,EW,"Edinger-Westphal nucleus, left",2,2
4774,He-VIIB,"VIIB, right, lateral hemisphere",2,2
4775,He-VIIIA,"VIIIA, right, lateral hemisphere",2,1
4760,PV-VIIIB,"VIIIB, right, paravermis",2,2
4730,PV-X,"X, left, paravermis",2,1
4335,ATZ,"amygdalohippocampal transition zone, right",2,1
4598,AHA,"anterior hypothalamic area, left",2,2
4371,COMA,"cortico-medial group, right",2,1
9024,CnF,"cuneiform nucleus, right",2,1
4189,Cun-pest,"cuneus, right, peristriate",2,2
4783,Emb,"emboliform nucleus, left",2,2
4788,Emb,"emboliform nucleus, right",2,2
4789,Fas,"fastigial nucleus, right",2,2
4894,FP-s,"frontal pole, right, superior aspect",2,1
4790,Glo,"globose nucleus, right",2,2
