structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
4907,TP-i,"temporal pole, right, inferior aspect",2,5,20598
4908,TP-m,"temporal pole, right, medial aspect",2,2,20598
4909,OPs,"occipital pole, left, superior aspect",1,1,20598
4910,OPi,"occipital pole, left, inferior aspect",1,1,20598
4911,OPl,"occipital pole, left, lateral aspect",1,1,20598
9004,CGMB,"central gray substance of midbrain, left",5,18,20598
9005,CGMB,"central gray substance of midbrain, right",2,8,20598
9016,ICjl,"interstitial nucleus of Cajal, left",2,2,20598
9017,ICjl,"interstitial nucleus of Cajal, right",1,1,20598
9019,MBRF,"midbrain reticular formation, left",1,2,20598
9020,CnF,"cuneiform nucleus, left",4,7,20598
9022,SubCn,"subcuneiform nucleus, left",5,6,20598
9023,MBRF,"midbrain reticular formation, right",1,2,20598
9024,CnF,"cuneiform nucleus, right",1,2,20598
9026,SubCn,"subcuneiform nucleus, right",2,3,20598
9031,3,"oculomotor nuclear complex, left",3,3,20598
9039,3,"oculomotor nuclear complex, right",2,3,20598
9048,Dk,"nucleus of Darkschewitsch, left",2,2,20598
9054,RN,"red nucleus, left",6,11,20598
9057,RN,"red nucleus, right",2,5,20598
9064,4,"trochlear nucleus, left",2,3,20598
9065,4,"trochlear nucleus, right",2,3,20598
9067,VTA,"ventral tegmental area, left",6,13,20598
9068,VTA,"ventral tegmental area, right",2,3,20598
9074,SNC,"substantia nigra, pars compacta, left",6,21,20598
9075,SNR,"substantia nigra, pars reticulata, left",6,16,20598
9077,SNC,"substantia nigra, pars compacta, right",2,7,20598
9078,SNR,"substantia nigra, pars reticulata, right",2,8,20598
9079,PTec,pretectal region,3,4,20598
9103,IC,"inferior colliculus, left",4,7,20598
9115,SC,"superior colliculus, left",4,6,20598
9123,SC,"superior colliculus, right",1,1,20598
9137,6,"abducens nucleus, left",5,7,20598
9138,6,"abducens nucleus, right",2,3,20598
9143,7,"facial motor nucleus, left",5,11,20598
9144,7,"facial motor nucleus, right",2,3,20598
9146,LPB,"lateral parabrachial nucleus, left",5,7,20598
9147,LPB,"lateral parabrachial nucleus, right",1,2,20598
9149,LC,"locus ceruleus, left",4,9,20598
9150,LC,"locus ceruleus, right",2,4,20598
9152,MPB,"medial parabrachial nucleus, left",5,9,20598
9153,MPB,"medial parabrachial nucleus,right",2,3,20598
9155,SubC,"nucleus subceruleus, left",5,8,20598
9156,SubC,"nucleus subceruleus, right",2,4,20598
9157,RPn,pontine raphe nucleus,2,2,20598
9158,RPn,"pontine raphe nucleus, left",3,5,20598
9161,PRF,"pontine reticular formation, left",6,16,20598
9169,PRF,"pontine reticular formation, right",2,8,20598
