structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank,sensitivity_fdr_q_all_six,sensitivity_fdr_q_all_six_significant_0_05
4113,AnG-s,"angular gyrus, left, superior bank of gyrus",6,17,0.057627067,0.06404537,0.027791198,-0.23094732,0.5912408759124088,0.9500602571321816,False,51,0.8743703094479285,False
9642,RaM,raphe nuclei of medulla,6,16,0.03822774,0.05698951,0.055545732,-0.33777156,0.6298370162983702,0.9894968130305613,False,61,0.916572726289015,False
4107,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",6,17,0.009501418,0.019609056,0.029104086,-0.34729275,0.6372362763723628,0.9894968130305613,False,77,0.916572726289015,False
4074,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",6,12,-0.09123738,-0.07900852,0.02731884,-0.44763473,0.6748325167483251,0.9922007799220078,False,122,0.9575326251158667,False
13005,LHM,"lateral hypothalamic area, mammillary region, left",6,6,-0.057120107,-0.030422308,0.052131582,-0.51212335,0.6941305869413059,0.9922007799220078,False,104,0.9717828217178283,False
9161,PRF,"pontine reticular formation, left",6,16,0.110703975,0.13645126,0.046680853,-0.55155987,0.708029197080292,0.9922007799220078,False,39,0.9727681078046041,False
4518,Sb,"subthalamic nucleus, left",6,11,0.6913254,0.72338897,0.056189824,-0.570629,0.7216278372162783,0.9922007799220078,False,3,0.9727681078046041,False
4039,trIFG,"inferior frontal gyrus, triangular part, left",6,15,-0.14029731,-0.123548776,0.028716195,-0.5832434,0.7226277372262774,0.9922007799220078,False,131,0.9727681078046041,False
4291,Acb,"nucleus accumbens, left",6,13,-0.2306001,-0.19292326,0.052848767,-0.71291804,0.7623237676232377,0.9922007799220078,False,149,0.9908009199080092,False
9054,RN,"red nucleus, left",6,11,0.3887707,0.43009678,0.057787962,-0.71513295,0.7624237576242375,0.9922007799220078,False,15,0.9908009199080092,False
9698,8Ve,"vestibular nuclei, left",6,18,0.48700082,0.5290547,0.051943924,-0.8096015,0.7937206279372063,0.9922007799220078,False,7,0.9908009199080092,False
9598,GiRt,"gigantocellular group, left",6,19,0.3949629,0.4374376,0.04876701,-0.8709717,0.8048195180481952,0.9922007799220078,False,14,0.9908009199080092,False
9543,Cu,"cuneate nucleus, left",6,16,0.5079094,0.5734693,0.06999591,-0.9366242,0.8282171782821718,0.9922007799220078,False,5,0.9908009199080092,False
9075,SNR,"substantia nigra, pars reticulata, left",6,16,0.4211469,0.48598182,0.0684959,-0.94655186,0.8297170282971703,0.9922007799220078,False,11,0.9908009199080092,False
4088,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",6,21,0.060873616,0.09271522,0.03268226,-0.9742779,0.8313168683131686,0.9922007799220078,False,49,0.9908009199080092,False
4281,TCd,"tail of caudate nucleus, left",6,15,-0.24861676,-0.18572637,0.058759414,-1.0703031,0.8577142285771423,0.9922007799220078,False,152,0.9908009199080092,False
4194,LiG-str,"lingual gyrus, left, striate",6,25,-0.07407796,-0.032982238,0.03674333,-1.1184537,0.8672132786721328,0.9922007799220078,False,115,0.9908009199080092,False
4193,LiG-pest,"lingual gyrus, left, peristriate",6,29,0.01442835,0.04813542,0.028618084,-1.177824,0.8808119188081192,0.9922007799220078,False,75,0.9908009199080092,False
4723,PV-Crus I,"Crus I, left, paravermis",6,11,-0.35294378,-0.25430763,0.08141939,-1.2114577,0.8867113288671132,0.9922007799220078,False,172,0.9908009199080092,False
4741,He-VIIB,"VIIB, left, lateral hemisphere",6,15,-0.3128075,-0.20907998,0.08503533,-1.2198167,0.887011298870113,0.9922007799220078,False,164,0.9908009199080092,False
4740,He-Crus II,"Crus II, left, lateral hemisphere",6,17,-0.3682254,-0.26418445,0.0849314,-1.2249998,0.8872112788721128,0.9922007799220078,False,177,0.9908009199080092,False
4739,He-Crus I,"Crus I, left, lateral hemisphere",6,19,-0.35048753,-0.23762852,0.082874745,-1.3618022,0.911908809119088,0.9922007799220078,False,171,0.9908009199080092,False
4087,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",6,18,-0.08587826,-0.04437012,0.028633459,-1.4496378,0.925907409259074,0.9922007799220078,False,121,0.9908009199080092,False
4725,PV-VIIB,"VIIB, left, paravermis",6,11,-0.36654645,-0.24853687,0.08062566,-1.4636728,0.929007099290071,0.9922007799220078,False,176,0.9908009199080092,False
4738,He-VI,"VI, left, lateral hemisphere",6,15,-0.2265149,-0.10659019,0.08178777,-1.4662915,0.9287071292870712,0.9922007799220078,False,148,0.9908009199080092,False
4722,PV-VI,"VI, left, paravermis",6,11,-0.32861087,-0.20831226,0.08142212,-1.4774684,0.932106789321068,0.9922007799220078,False,168,0.9908009199080092,False
4720,PV-V,"V, left, paravermis",6,11,-0.34013736,-0.21860969,0.07964175,-1.5259292,0.9355064493550644,0.9922007799220078,False,169,0.9908009199080092,False
4280,HCd,"head of caudate nucleus, left",6,22,-0.15572637,-0.076700404,0.051685,-1.5289923,0.937006299370063,0.9922007799220078,False,133,0.9908009199080092,False
4187,Cun-str,"cuneus, left, striate",6,16,-0.098621376,-0.043094203,0.035702012,-1.5552953,0.9411058894110588,0.9922007799220078,False,125,0.9908009199080092,False
4282,BCd,"body of caudate nucleus, left",6,25,-0.16302851,-0.06852041,0.0534263,-1.7689433,0.962003799620038,0.9922007799220078,False,134,0.9908009199080092,False
4506,R,"reticular nucleus of thalamus, left",6,15,0.49288937,0.61869925,0.06689326,-1.8807558,0.9691030896910308,0.9922007799220078,False,6,0.9908009199080092,False
4507,ZI,"zona incerta, left",6,10,0.77400917,0.88360274,0.056687556,-1.9332914,0.971002899710029,0.9922007799220078,False,1,0.9908009199080092,False
4288,Pu,"putamen, left",6,48,-0.034138218,0.06716495,0.051953945,-1.9498647,0.9733026697330268,0.9922007799220078,False,97,0.9908009199080092,False
9222,cc,corpus callosum,6,13,-0.14404486,0.12805472,0.12174656,-2.2349672,0.9851014898510148,0.9922007799220078,False,132,0.9908009199080092,False
4296,GPi,"globus pallidus, internal segment, left",6,11,0.33259723,0.50925547,0.075317115,-2.345526,0.9908009199080092,0.9922007799220078,False,16,0.9908009199080092,False
