structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank
4159,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",5,18,0.01922078,-0.03673282,0.031932406,1.7522513,0.0385961403859614,0.29350264973502643,False,72
4143,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",6,41,0.015272307,-0.005205261,0.025856247,0.7919776,0.21407859214078592,0.6640064807078614,False,73
4013,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",6,19,0.015036281,0.018635403,0.030075105,-0.11967114,0.541945805419458,0.902432484024325,False,74
4193,LiG-pest,"lingual gyrus, left, peristriate",6,29,0.01442835,0.04813542,0.028618084,-1.177824,0.8808119188081192,0.9922007799220078,False,75
4012,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",6,11,0.010850679,-0.016114246,0.026542012,1.0159338,0.15878412158784122,0.5806150154215348,False,76
4107,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",6,17,0.009501418,0.019609056,0.029104086,-0.34729275,0.6372362763723628,0.9894968130305611,False,77
4069,PaOG,"parolfactory gyri, left",5,7,0.009378477,-0.0035062453,0.034904607,0.369141,0.35776422357764226,0.7298936772989368,False,78
4428,DTP,"posterior group of nuclei, left",5,6,0.0046378565,-0.13992253,0.049758054,2.905266,0.0018998100189981002,0.17383261673832617,False,79
4042,opIFG,"inferior frontal gyrus, opercular part, left",4,8,0.004429987,0.009146186,0.031998884,-0.14738634,0.5572442755724427,0.9187000218897028,False,80
4301,SptN,"septal nuclei, left",5,10,0.003706614,0.01642294,0.05413723,-0.23489061,0.5918408159184082,0.9500602571321816,False,81
4178,PLP,"planum polare, left",6,18,0.0034504945,-0.013609,0.027351191,0.62372035,0.26517348265173485,0.6940597606905976,False,82
4158,FuG-its,"fusiform gyrus, left, bank of the its",6,20,0.0027318934,-0.05501156,0.028810678,2.004238,0.0202979702029797,0.26663047980916194,False,83
4063,SCG,"subcallosal cingulate gyrus, left",4,6,-0.0013678138,0.022926727,0.032269772,-0.7528575,0.7755224477552245,0.9922007799220078,False,84
4351,BMA,"basomedial nucleus, left",6,9,-0.008487754,-0.12379859,0.05652212,2.040101,0.020397960203979604,0.26663047980916194,False,85
4596,LHA,"lateral hypothalamic area, anterior region, left",4,4,-0.008621394,0.027357738,0.048442535,-0.7427178,0.7683231676832317,0.9922007799220078,False,86
4073,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",5,14,-0.008964982,0.00988997,0.028354954,-0.66496146,0.7434256574342566,0.9922007799220078,False,87
4151,ITG-mts,"inferior temporal gyrus, left, bank of mts",6,30,-0.009285551,-0.047623187,0.025524428,1.5019978,0.0675932406759324,0.3649468386494684,False,88
4015,PrG-cs,"precentral gyrus, left, bank of the central sulcus",5,14,-0.01012255,0.0073360093,0.025345823,-0.68881404,0.7509249075092491,0.9922007799220078,False,89
4201,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",6,14,-0.011594863,-0.024644824,0.027888117,0.46793982,0.32196780321967805,0.7055687288414015,False,90
4215,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",5,11,-0.01322728,-0.0101989545,0.029004943,-0.10440723,0.5424457554244576,0.902432484024325,False,91
4172,PLT,"planum temporale, left",4,9,-0.014330626,-0.031896863,0.026408656,0.6651697,0.2548745125487451,0.6940597606905976,False,92
4208,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",5,15,-0.014953547,-0.018760812,0.028148066,0.13525847,0.44065593440655937,0.8241645223232777,False,93
4231,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",5,17,-0.01787768,-0.0023898224,0.024907373,-0.6218182,0.7362263773622638,0.9922007799220078,False,94
4230,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",6,18,-0.028736679,-0.02895143,0.02758407,0.007785356,0.49705029497050296,0.8831087765009907,False,95
4090,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",5,10,-0.0313423,-0.051257312,0.0282712,0.7044275,0.2390760923907609,0.6940597606905976,False,96
4288,Pu,"putamen, left",6,48,-0.034138218,0.06716495,0.051953945,-1.9498647,0.9733026697330267,0.9922007799220078,False,97
4258,DG,"dentate gyrus, left",6,21,-0.039869443,-0.17887753,0.09302721,1.4942734,0.07029297070292971,0.3649468386494684,False,98
4245,PHG-cos,"parahippocampal gyrus, left, bank of the cos",6,20,-0.040387183,-0.10466231,0.028762473,2.2346869,0.0122987701229877,0.23787621237876214,False,99
4214,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",6,13,-0.0420787,-0.045876663,0.026763896,0.14190622,0.4413558644135586,0.8241645223232777,False,100
4669,SuM,"supramammillary nucleus, left",4,4,-0.04660565,-0.12097485,0.061033215,1.2185038,0.11628837116288371,0.5066850457811362,False,101
4207,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",5,13,-0.05619587,-0.060342163,0.031601276,0.1312065,0.4480551944805519,0.8282232382822323,False,102
4024,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",6,40,-0.056218766,-0.10216206,0.026906947,1.7074883,0.04559544045595441,0.2979987715514163,False,103
13005,LHM,"lateral hypothalamic area, mammillary region, left",6,6,-0.057120107,-0.030422308,0.052131582,-0.51212335,0.6941305869413059,0.9922007799220078,False,104
4121,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",6,22,-0.057805106,-0.0770932,0.028128136,0.6857224,0.24597540245975402,0.6940597606905976,False,105
4051,MOrG,"medial orbital gyrus, left",6,21,-0.061118428,-0.100273885,0.02835653,1.3808268,0.08159184081591841,0.3929291281398176,False,106
9146,LPB,"lateral parabrachial nucleus, left",5,7,-0.061413504,-0.04160647,0.05568811,-0.35567796,0.6380361963803619,0.9894968130305611,False,107
4079,fro,"frontal operculum, left",6,13,-0.0615031,-0.09844388,0.02732921,1.3516958,0.08849115088491151,0.41522770799843095,False,108
4200,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",6,17,-0.062218104,-0.057189167,0.025879726,-0.19431956,0.5740425957404259,0.937944598397303,False,109
4901,IRoG,"inferior rostral gyrus, left",5,9,-0.06613325,-0.08304265,0.03067037,0.5513268,0.2900709929007099,0.7025107615820697,False,110
4432,ILr,"rostral group of intralaminar nuclei, left",6,15,-0.06859124,-0.126525,0.04581482,1.2645202,0.1070892910708929,0.47798390892618053,False,111
4186,Cun-pest,"cuneus, left, peristriate",6,19,-0.06986784,-0.0861311,0.031404518,0.51786375,0.30326967303269675,0.7025107615820697,False,112
4251,S,"subiculum, left",6,25,-0.071058206,-0.19703914,0.041187067,3.0587502,0.0007999200079992001,0.1463853614638536,False,113
9103,IC,"inferior colliculus, left",4,7,-0.07289039,-0.08894973,0.05409347,0.2968813,0.3768623137686231,0.7416598765655349,False,114
4194,LiG-str,"lingual gyrus, left, striate",6,25,-0.07407796,-0.032982238,0.03674333,-1.1184537,0.8672132786721328,0.9922007799220078,False,115
4150,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",6,24,-0.079049096,-0.08949255,0.028802773,0.3625851,0.35896410358964104,0.7298936772989368,False,116
4031,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",6,30,-0.07987378,-0.0970224,0.028039157,0.61159545,0.2706729327067293,0.6940597606905976,False,117
4060,LOrG,"lateral orbital gyrus, left",6,15,-0.08052686,-0.090368494,0.024839591,0.39620763,0.34466553344665535,0.7249861220774475,False,118
4048,GRe,"gyrus rectus, left",6,20,-0.081794985,-0.13674973,0.030982839,1.7737156,0.0377962203779622,0.29350264973502643,False,119
4136,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",6,28,-0.08297628,-0.09980519,0.026987009,0.623593,0.2676732326767323,0.6940597606905976,False,120
4087,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",6,18,-0.08587826,-0.04437012,0.028633459,-1.4496378,0.9259074092590741,0.9922007799220078,False,121
4074,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",6,12,-0.09123738,-0.07900852,0.02731884,-0.44763473,0.6748325167483251,0.9922007799220078,False,122
4166,HG,"Heschl's gyrus, left",6,11,-0.093163654,-0.10805614,0.026219951,0.5679831,0.28517148285171484,0.7025107615820697,False,123
4903,TP-s,"temporal pole, left, superior aspect",5,8,-0.09843927,-0.16726524,0.036889985,1.8657087,0.029797020297970205,0.29350264973502643,False,124
4187,Cun-str,"cuneus, left, striate",6,16,-0.098621376,-0.043094203,0.035702012,-1.5552953,0.9411058894110589,0.9922007799220078,False,125
4270,LIG,"long insular gyri, left",6,17,-0.10054295,-0.14160416,0.026440883,1.5529438,0.0603939606039396,0.3649468386494684,False,126
4254,CA1,"CA1 field, left",6,24,-0.1010271,-0.25317007,0.063124135,2.4102187,0.007499250074992501,0.23787621237876214,False,127
4030,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",6,33,-0.113784544,-0.14347444,0.026483456,1.1210735,0.13138686131386862,0.546449900464499,False,128
4367,COMA,"cortico-medial group, left",6,9,-0.13300708,-0.24517347,0.05308966,2.1127727,0.017598240175982403,0.26663047980916194,False,129
4014,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",6,18,-0.13868162,-0.17005032,0.029754369,1.0542554,0.14758524147585242,0.5733426657334266,False,130
4039,trIFG,"inferior frontal gyrus, triangular part, left",6,15,-0.14029731,-0.123548776,0.028716195,-0.5832434,0.7226277372262774,0.9922007799220078,False,131
9222,cc,corpus callosum,6,13,-0.14404486,0.12805472,0.12174656,-2.2349672,0.9851014898510149,0.9922007799220078,False,132
4280,HCd,"head of caudate nucleus, left",6,22,-0.15572637,-0.076700404,0.051685,-1.5289923,0.937006299370063,0.9922007799220078,False,133
4282,BCd,"body of caudate nucleus, left",6,25,-0.16302851,-0.06852041,0.0534263,-1.7689433,0.962003799620038,0.9922007799220078,False,134
4672,MM,"medial mammillary nucleus, left",4,6,-0.16401942,-0.20360148,0.06208054,0.6375921,0.2652734726527347,0.6940597606905976,False,135
4542,PrOR,"preoptic region, left",6,6,-0.16806142,-0.21098648,0.054122057,0.79311585,0.20927907209279073,0.6640064807078614,False,136
9520,Arc,"arcuate nucleus of medulla, left",6,18,-0.17426322,-0.23560278,0.059422914,1.0322543,0.1503849615038496,0.5733426657334266,False,137
4329,ATZ,"amygdalohippocampal transition zone, left",6,7,-0.17602436,-0.29575613,0.053880427,2.2221756,0.014298570142985701,0.23787621237876214,False,138
4360,CeA,"central nucleus, left",6,8,-0.17700298,-0.19315773,0.05285925,0.30561826,0.37606239376062395,0.7416598765655349,False,139
4641,DMH,"dorsomedial hypothalamic nucleus, left",4,5,-0.18242559,-0.19777131,0.053326108,0.28777128,0.38096190380961903,0.7416598765655349,False,140
4735,He-IV,"IV, left, lateral hemisphere",4,8,-0.18299375,-0.12342808,0.07914048,-0.75265753,0.7706229377062294,0.9922007799220078,False,141
4718,PV-III,"III, left, paravermis",4,7,-0.19403113,-0.08907813,0.075849935,-1.3836927,0.9159084091590841,0.9922007799220078,False,142
4708,Ve-VIIB,VIIB,4,7,-0.20074485,-0.08617082,0.078721516,-1.4554348,0.9274072592740726,0.9922007799220078,False,143
9115,SC,"superior colliculus, left",4,6,-0.20701198,-0.17808253,0.041670058,-0.69425046,0.7536246375362464,0.9922007799220078,False,144
4255,CA2,"CA2 field, left",6,19,-0.21117115,-0.3847813,0.07579011,2.2906704,0.012398760123987601,0.23787621237876214,False,145
9149,LC,"locus ceruleus, left",4,9,-0.21386777,-0.24520554,0.064131536,0.48864833,0.3170682931706829,0.7055687288414015,False,146
4701,Ve-III,III,4,9,-0.21929139,-0.117608495,0.075619556,-1.344664,0.9115088491150884,0.9922007799220078,False,147
4738,He-VI,"VI, left, lateral hemisphere",6,15,-0.2265149,-0.10659019,0.08178777,-1.4662915,0.9287071292870713,0.9922007799220078,False,148
4291,Acb,"nucleus accumbens, left",6,13,-0.2306001,-0.19292326,0.052848767,-0.71291804,0.7623237676232377,0.9922007799220078,False,149
4710,Ve-VIIIB,VIIIB,4,7,-0.2466678,-0.13396092,0.07521838,-1.4983956,0.9355064493550644,0.9922007799220078,False,150
4705,Ve-VI,VI,4,7,-0.24854508,-0.11587649,0.07616765,-1.741797,0.9603039696030397,0.9922007799220078,False,151
4281,TCd,"tail of caudate nucleus, left",6,15,-0.24861676,-0.18572637,0.058759414,-1.0703031,0.8577142285771423,0.9922007799220078,False,152
10145,OlfT,"olfactory tubercle, left",4,5,-0.24970764,-0.27011704,0.04842,0.42150775,0.3364663533646635,0.7159691007643421,False,153
4675,LM,"lateral mammillary nucleus, left",4,4,-0.26551658,-0.31403247,0.077122614,0.6290747,0.2643735626437356,0.6940597606905976,False,154
4702,Ve-IV,IV,4,7,-0.26940048,-0.14361481,0.078080095,-1.6109824,0.9503049695030497,0.9922007799220078,False,155
4719,PV-IV,"IV, left, paravermis",5,9,-0.26967153,-0.17665972,0.0801445,-1.1605513,0.8767123287671232,0.9922007799220078,False,156
4593,SO,"supraoptic nucleus, left",5,6,-0.27524173,-0.3204866,0.085348666,0.5301181,0.2953704629537046,0.7025107615820697,False,157
4728,PV-IX,"IX, left, paravermis",5,9,-0.2752924,-0.15264362,0.08321864,-1.4738138,0.928907109289071,0.9922007799220078,False,158
4637,VMH,"ventromedial hypothalamic nucleus, left",5,6,-0.2775601,-0.34385663,0.056211643,1.179409,0.1202879712028797,0.5119232262820229,False,159
4311,DBh,"nucleus of the diagonal band, left, vertical division",4,4,-0.27783468,-0.30566344,0.055828277,0.49847057,0.30996900309969005,0.7055687288414015,False,160
4679,PHA,"posterior hypothalamic area, left",6,7,-0.27808213,-0.31061685,0.05366846,0.6062167,0.27307269273072693,0.6940597606905976,False,161
4310,DBv,"nucleus of the diagonal band, left, horizontal division",4,5,-0.29288492,-0.3329401,0.05857699,0.6838041,0.24687531246875313,0.6940597606905976,False,162
4573,PVH,"paraventricular nucleus of the hypothalamus, left",5,7,-0.29446068,-0.29283053,0.063097425,-0.025835559,0.5023497650234976,0.8839423749932699,False,163
4741,He-VIIB,"VIIB, left, lateral hemisphere",6,15,-0.3128075,-0.20907998,0.08503533,-1.2198167,0.887011298870113,0.9922007799220078,False,164
4709,Ve-VIIIA,VIIIA,4,7,-0.31629863,-0.20253533,0.082012825,-1.3871404,0.9172082791720828,0.9922007799220078,False,165
4727,PV-VIIIB,"VIIIB, left, paravermis",5,8,-0.31805733,-0.20623155,0.07363603,-1.5186285,0.9367063293670633,0.9922007799220078,False,166
4703,Ve-V,V,4,8,-0.3186734,-0.19654147,0.080623746,-1.5148382,0.9347065293470653,0.9922007799220078,False,167
4722,PV-VI,"VI, left, paravermis",6,11,-0.32861087,-0.20831226,0.08142212,-1.4774684,0.9321067893210679,0.9922007799220078,False,168
4720,PV-V,"V, left, paravermis",6,11,-0.34013736,-0.21860969,0.07964175,-1.5259292,0.9355064493550644,0.9922007799220078,False,169
4743,He-VIIIB,"VIIIB, left, lateral hemisphere",4,7,-0.3460345,-0.21445677,0.088642195,-1.484369,0.9319068093190681,0.9922007799220078,False,170
4739,He-Crus I,"Crus I, left, lateral hemisphere",6,19,-0.35048753,-0.23762852,0.082874745,-1.3618022,0.9119088091190881,0.9922007799220078,False,171
4723,PV-Crus I,"Crus I, left, paravermis",6,11,-0.35294378,-0.25430763,0.08141939,-1.2114577,0.8867113288671132,0.9922007799220078,False,172
4724,PV-Crus II,"Crus II, left, paravermis",5,9,-0.35392103,-0.2310832,0.08515644,-1.4424961,0.9251074892510749,0.9922007799220078,False,173
4667,TM,"tuberomammillary nucleus, left",4,4,-0.3549086,-0.44691777,0.06279759,1.4651706,0.07179282071792821,0.3649468386494684,False,174
4736,He-V,"V, left, lateral hemisphere",4,10,-0.35587886,-0.2607648,0.07813437,-1.2173138,0.8888111188881112,0.9922007799220078,False,175
4725,PV-VIIB,"VIIB, left, paravermis",6,11,-0.36654645,-0.24853687,0.08062566,-1.4636728,0.929007099290071,0.9922007799220078,False,176
4740,He-Crus II,"Crus II, left, lateral hemisphere",6,17,-0.3682254,-0.26418445,0.0849314,-1.2249998,0.8872112788721128,0.9922007799220078,False,177
4742,He-VIIIA,"VIIIA, left, lateral hemisphere",5,13,-0.36928165,-0.23556523,0.0851381,-1.5705826,0.9424057594240576,0.9922007799220078,False,178
4711,Ve-IX,IX,4,7,-0.3732909,-0.2293198,0.080798745,-1.7818482,0.9646035396460354,0.9922007799220078,False,179
4726,PV-VIIIA,"VIIIA, left, paravermis",5,9,-0.3799011,-0.2603974,0.084608376,-1.4124335,0.921007899210079,0.9922007799220078,False,180
4648,PeF,"perifornical nucleus, left",4,5,-0.39027375,-0.4120211,0.059479214,0.36562943,0.35806419358064195,0.7298936772989368,False,181
