structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
4335,ATZ,"amygdalohippocampal transition zone, right",1,2,176
4371,COMA,"cortico-medial group, right",1,2,176
9024,CnF,"cuneiform nucleus, right",1,2,176
4894,FP-s,"frontal pole, right, superior aspect",1,2,176
4382,LA,"lateral nucleus, right",1,2,176
9147,LPB,"lateral parabrachial nucleus, right",1,2,176
4499,MG,"medial geniculate complex, right",1,2,176
9019,MBRF,"midbrain reticular formation, left",1,2,176
9023,MBRF,"midbrain reticular formation, right",1,2,176
4128,PCLp-cs,"paracentral lobule, posterior part, left, bank of cingulate sulcus",1,2,176
4130,PCLp-l,"paracentral lobule, posterior part, right, lateral bank of gyrus",1,2,176
4604,PVH,"paraventricular nucleus of the hypothalamus, right",1,2,176
9451,EW,"Edinger-Westphal nucleus, right",1,1,176
4751,PV-III,"III, right, paravermis",1,1,176
4629,AHA,"anterior hypothalamic area, right",1,1,176
4055,AOrG,"anterior orbital gyrus, right",1,1,176
4659,ARH,"arcuate nucleus of the hypothalamus, right",1,1,176
10149,CGPo,"central gray of the pons, right",1,1,176
4363,CeA,"central nucleus, right",1,1,176
4240,CgGr-s,"cingulate gyrus, retrosplenial part, right, superior bank of gyrus",1,1,176
9241,cgb,"cingulum bundle, left",1,1,176
9242,cgb,"cingulum bundle, right",1,1,176
9534,8Co,"cochlear nuclei, right",1,1,176
4892,FPm,"frontal pole, left, medial aspect",1,1,176
4895,FPi,"frontal pole, right, inferior aspect",1,1,176
4896,FPm,"frontal pole, right, medial aspect",1,1,176
4210,IOG-s,"inferior occipital gyrus, right, superior bank of gyrus",1,1,176
9017,ICjl,"interstitial nucleus of Cajal, right",1,1,176
4529,Hl,"lateral habenular nucleus, right",1,1,176
4627,LHA,"lateral hypothalamic area, anterior region, right",1,1,176
4671,MB,"mammillary body, left",1,1,176
4685,MB,"mammillary body, right",1,1,176
4523,Hm,"medial habenular nucleus, left",1,1,176
4528,Hm,"medial habenular nucleus, right",1,1,176
4910,OPi,"occipital pole, left, inferior aspect",1,1,176
4911,OPl,"occipital pole, left, lateral aspect",1,1,176
4909,OPs,"occipital pole, left, superior aspect",1,1,176
4127,PCLp-l,"paracentral lobule, posterior part, left, lateral bank of gyrus",1,1,176
4131,PCLp-cs,"paracentral lobule, posterior part, right, bank of cingulate sulcus",1,1,176
4067,PTG,"paraterminal gyrus, right",1,1,176
4070,PaOG,"parolfactory gyri, right",1,1,176
4532,PIN,pineal gland,1,1,176
9123,SC,"superior colliculus, right",1,1,176
4022,SFG,"superior frontal gyrus, left",1,1,176
4218,SOG-i,"superior occipital gyrus, right, inferior bank of gyrus",1,1,176
4652,VMH,"ventromedial hypothalamic nucleus, right",1,1,176
