gene_symbol,probe_id,probe_name,overall_detection_rate,donors_with_detection_rate_at_least_0_5
PDE5A,1029315,CUST_11485_PI416261804,0.7217720151269584,6
PDGFB,1025515,A_24_P339944,0.9692058346839546,6
PDLIM2,1030473,CUST_1291_PI416379584,0.9994597514856834,6
PIK3CA,1053065,CUST_15807_PI416261804,0.9989195029713668,6
PITPNM2,1040523,A_23_P401361,0.8722312263641275,6
PKP2,1028774,A_23_P162466,0.8268503511615343,6
PLEKHM1,1015773,A_23_P152727,0.9997298757428417,6
PMVK,1047114,A_23_P114774,0.9994597514856834,6
RABEP2,1038854,A_23_P61100,0.9432739059967585,6
RBMS3,1027165,A_32_P228618,0.9991896272285251,6
RILPL2,1033620,A_23_P76109,0.9940572663425176,6
RIMS1,1046116,CUST_13778_PI416261804,0.9956780118854673,6
RIMS2,1020609,CUST_38_PI416408490,0.998109130199892,6
RIT1,1052172,A_23_P316601,0.9910858995137763,6
RIT2,1052176,CUST_6645_PI416261804,0.9918962722852512,6
RNF141,1043920,A_24_P372625,0.9994597514856834,6
RORA,1024340,A_23_P26124,0.9991896272285251,6
RPL10,1052085,A_23_P217666,0.9994597514856834,6
RPL13AP3,1012847,CUST_162_PI417507815,0.9994597514856834,6
RPL3,1052118,A_23_P68942,1.0,6
RPS6KL1,1038075,A_24_P153547,0.9432739059967585,6
SCARB2,1058448,A_23_P386514,0.9991896272285251,6
SCN2A,1022205,A_23_P51019,0.9983792544570502,6
SEC23IP,1046486,A_23_P202602,0.9962182603997839,6
SEMA4A,1039940,A_23_P23438,0.9448946515397083,6
SETD1A,1023899,CUST_10043_PI416261804,0.6728795245813074,6
SH2B1,1019011,A_24_P185029,0.8935710426796326,6
SH3GL2,1051629,A_23_P169351,0.9945975148568341,6
SIPA1L2,1040562,CUST_5402_PI416261804,0.9986493787142086,6
SLC25A44,1048291,A_24_P312325,0.990815775256618,6
SLC2A13,1036279,A_32_P199801,0.9991896272285251,6
SLC38A1,1011006,A_24_P261734,0.9991896272285251,6
