gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
HLA-DQA1,1055658,A_24_P196827,1337,3702,0.3611561318206375,6,2,False
HLA-DQA1,1055659,CUST_3141_PI416261804,2513,3702,0.6788222582387898,6,3,True
HLA-DQA1,1055660,A_24_P393230,21,3702,0.005672609400324149,6,0,False
HLA-DQB1,1055654,A_23_P136683,2134,3702,0.5764451647757969,6,3,True
HLA-DQB1,1055655,A_24_P239676,437,3702,0.11804430037817396,6,0,False
HLA-DRA,1055652,A_32_P115555,1057,3702,0.2855213398163155,6,2,False
HLA-DRA,1055653,A_32_P87697,3126,3702,0.8444084278768234,6,5,True
HLA-DRB1,1055650,A_24_P343233,3700,3702,0.9994597514856834,6,6,True
HLA-DRB1,1055651,A_23_P31006,3542,3702,0.9567801188546732,6,6,True
INPP5F,1046229,A_24_P4426,3675,3702,0.9927066450567261,6,6,True
INPP5F,1046230,A_23_P35684,3700,3702,0.9994597514856834,6,6,True
IP6K2,1030752,A_23_P301133,3698,3702,0.9989195029713668,6,6,True
IP6K2,1030753,A_23_P301138,3702,3702,1.0,6,6,True
IP6K2,1030791,A_23_P6836,3582,3702,0.9675850891410048,6,6,True
IP6K2,1030792,CUST_13640_PI416261804,3691,3702,0.9970286331712588,6,6,True
IQCJ,1021047,CUST_1164_PI416379584,1064,3702,0.28741220961642355,6,0,False
IQCJ,1021142,CUST_1165_PI416379584,1829,3702,0.49405726634251756,6,3,False
IQCJ,1021143,CUST_1127_PI416573500,2204,3702,0.5953538627768774,6,4,True
IQCJ,1021144,CUST_1128_PI416573500,1999,3702,0.5399783900594274,6,4,True
IQCJ-SCHIP1,1044119,A_32_P62863,3701,3702,0.9997298757428417,6,6,True
IQCJ-SCHIP1,1044120,CUST_10207_PI416261804,3702,3702,1.0,6,6,True
IRS2,1049467,A_24_P207003,3696,3702,0.9983792544570502,6,6,True
IRS2,1049468,A_23_P53838,3182,3702,0.8595353862776878,6,6,True
IRS2,1049469,A_24_P154037,3700,3702,0.9994597514856834,6,6,True
ITGA2B,1054940,A_23_P77971,2209,3702,0.5967044840626688,6,5,True
ITGA2B,1054941,A_24_P65373,1365,3702,0.3687196110210697,6,1,False
ITGA8,1049617,A_23_P46781,2737,3702,0.7393300918422474,6,6,True
ITGA8,1049618,CUST_5678_PI416261804,3033,3702,0.8192868719611021,6,6,True
ITGAE,1054931,A_23_P218375,3405,3702,0.919773095623987,6,6,True
ITGAE,1054932,CUST_13181_PI416261804,3537,3702,0.9554294975688817,6,6,True
ITIH1,1054912,A_23_P18223,374,3702,0.10102647217720151,6,0,False
ITIH1,1054913,A_24_P136905,3692,3702,0.9972987574284171,6,6,True
ITPKB,1054898,A_23_P372255,3700,3702,0.9994597514856834,6,6,True
ITPKB,1054899,CUST_7737_PI416261804,3582,3702,0.9675850891410048,6,6,True
KCNIP3,1022417,A_23_P356004,3698,3702,0.9989195029713668,6,6,True
KCNIP3,1022418,CUST_382_PI416408490,3656,3702,0.9875742841707186,6,6,True
KCNIP3,1022419,CUST_11026_PI416261804,2276,3702,0.6148028092922745,6,6,True
KCNN3,1027249,A_23_P126167,3568,3702,0.9638033495407887,6,6,True
KCNN3,1027250,CUST_15116_PI416261804,3112,3702,0.8406266882766072,6,6,True
KCNN3,1027251,CUST_15115_PI416261804,2881,3702,0.7782279848730416,6,6,True
KCNS3,1054772,A_23_P120103,3622,3702,0.9783900594273366,6,6,True
KCNS3,1054773,CUST_405_PI416408490,2928,3702,0.7909238249594813,6,6,True
KCNS3,1054774,CUST_6474_PI416261804,141,3702,0.03808752025931929,6,0,False
KLHDC1,1035775,A_23_P422766,3432,3702,0.9270664505672609,6,6,True
KLHDC1,1035776,A_32_P164513,3694,3702,0.9978390059427337,6,6,True
KLHL7,1025738,A_23_P324994,3615,3702,0.9764991896272285,6,6,True
KLHL7,1025739,A_24_P295050,3664,3702,0.9897352782279849,6,6,True
KLHL7,1063321,A_23_P215517,3264,3702,0.8816855753646677,6,6,True
KNTC1,1048212,A_23_P136817,3269,3702,0.8830361966504592,6,6,True
KNTC1,1048213,CUST_6725_PI416261804,3389,3702,0.9154511075094544,6,6,True
KPNA1,1015121,CUST_209_PI417507815,3696,3702,0.9983792544570502,6,6,True
KPNA1,1020579,A_23_P351055,3560,3702,0.9616423554835224,6,6,True
KPNA3,1054722,A_23_P139950,3699,3702,0.9991896272285251,6,6,True
KPNA3,1054723,CUST_9760_PI416261804,3668,3702,0.990815775256618,6,6,True
KRTCAP2,1033536,A_23_P149249,3700,3702,0.9994597514856834,6,6,True
KRTCAP2,1033537,CUST_1126_PI416261804,3699,3702,0.9991896272285251,6,6,True
KTN1,1011820,CUST_10474_PI416261804,3702,3702,1.0,6,6,True
KTN1,1017307,A_23_P106131,3700,3702,0.9994597514856834,6,6,True
KTN1,1054651,CUST_10471_PI416261804,3538,3702,0.95569962182604,6,6,True
LAMP3,1044682,A_23_P29773,15,3702,0.004051863857374392,6,0,False
LAMP3,1044683,CUST_14290_PI416261804,23,3702,0.006212857914640735,6,0,False
LHFPL2,1047730,A_23_P255104,3659,3702,0.9883846569421935,6,6,True
LHFPL2,1047731,A_24_P349092,1816,3702,0.49054565099945974,6,2,False
