gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
AC012652.1,1046393,A_23_P112801,11100,calcineurin-like EF hand protein 1,11261.0,15,0.9994597514856834,3700,3702
AC013283.1,1028233,A_23_P53467,78843,IKBKB interacting protein,121457.0,12,0.7890329551593733,2921,3702
AC013356.1,1017459,CUST_1081_PI416573500,151701,proline/histidine/glycine-rich 1,644844.0,15,0.9994597514856834,3700,3702
AC013356.3,1015183,CUST_11359_PI416261804,133634,uncharacterized LOC440465,440465.0,17,0.9994597514856834,3700,3702
AC013402.2,1017902,A_24_P709476,80904,uncharacterized LOC150568,150568.0,2,0.915180983252296,3388,3702
AC013553.2,1010308,CUST_95_PI416379584,123939,kelch repeat and BTB (POZ) domain containing 13,390594.0,15,0.9994597514856834,3700,3702
AC015871.2,1012974,CUST_5228_PI416261804,94049,chromosome 15 open reading frame 37,283687.0,15,0.9481361426256077,3510,3702
AC015936.3,1046873,A_23_P77993,10724,"complement component 1, q subcomponent-like 1",10882.0,17,0.9708265802269044,3594,3702
AC016525.1,1016223,A_32_P8813,94039,uncharacterized LOC283663,283663.0,15,0.9500270124257159,3517,3702
AC016629.3,1020267,A_23_P400181,41839,CENPB DNA-binding domains containing 1 pseudogene,65996.0,19,0.9978390059427337,3694,3702
AC016683.6,1017069,A_24_P709377,1001793,uncharacterized LOC654433,654433.0,2,0.6593733117233928,2441,3702
AC016747.3,1018366,A_32_P49728,109738,uncharacterized LOC339803,339803.0,2,0.9943273905996759,3681,3702
AC016757.1,1017263,A_24_P469746,80954,uncharacterized LOC151174,151174.0,2,0.9462452728254998,3503,3702
AC017099.3,1015906,A_24_P456723,170404,uncharacterized LOC728537,728537.0,2,0.9754186925985954,3611,3702
AC018865.8,1015956,A_24_P28811,134038,uncharacterized LOC440905,440905.0,2,0.9970286331712588,3691,3702
AC019171.4,1010492,CUST_1104_PI416379584,1000112,Rho guanine nucleotide exchange factor (GEF) 33,100271715.0,2,0.9719070772555376,3598,3702
AC020663.1,1037466,A_23_P218302,58854,glyoxylate reductase 1 homolog (Arabidopsis),84656.0,16,0.9913560237709347,3670,3702
AC021054.1,1017782,A_23_P431569,1001883,uncharacterized LOC100049716,100049716.0,12,0.8924905456509995,3304,3702
AC021148.2,1017485,A_23_P41267,125473,WD repeat domain 5 pseudogene,401127.0,4,0.859805510534846,3183,3702
AC021534.2,1019865,A_24_P142343,80543,"RNA binding protein, fox-1 homolog (C. elegans) 3",146713.0,17,0.9141004862236629,3384,3702
AC021850.1,1032313,A_23_P70827,94591,uncharacterized LOC285501,285501.0,4,0.9983792544570502,3696,3702
AC021860.1,1015759,A_23_P30163,55470,uncharacterized FLJ13197,79667.0,4,0.9929767693138843,3676,3702
