gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
ATG9B,2,0,0.348730415991356
ATOH1,2,0,0.02485143165856294
ATP12A,2,0,0.03565640194489465
ATP13A5,2,0,0.3387358184764992
ATP1B4,3,0,0.09238249594813615
ATP2A3,2,0,0.1731496488384657
ATP4B,2,0,0.206645056726094
ATP6V0D2,2,0,0.006212857914640735
ATP6V1B1,2,0,0.37412209616423553
ATP6V1C2,1,0,0.2801188546731497
ATP6V1G3,2,0,0.009724473257698542
ATP8B4,2,0,0.2522960561858455
ATPAF1-AS1,2,0,0.11345218800648298
ATXN3,2,0,0.11534305780659103
ATXN3L,2,0,0.12236628849270664
AVPR1A,3,0,0.0750945434900054
AVPR1B,3,0,0.011885467314964884
AWAT1,2,0,0.0037817396002160996
AWAT2,2,0,0.026202052944354404
AZU1,2,0,0.3254997298757428
A_23_P10060,1,0,0.08670988654781199
A_23_P102071,1,0,0.4627228525121556
A_23_P103269,2,0,0.21582928146947597
A_23_P103743,1,0,0.16018368449486764
A_23_P104012,1,0,0.004592112371690978
A_23_P104484,1,0,0.3268503511615343
A_23_P104865,1,0,0.021609940572663425
A_23_P10525,1,0,0.0021609940572663426
A_23_P10561,3,0,0.18260399783900594
A_23_P106814,1,0,0.021339816315505133
A_23_P107578,1,0,0.09427336574824419
A_23_P108427,2,0,0.1012965964343598
A_23_P108970,1,0,0.1423554835224203
A_23_P108990,1,0,0.04403025391680173
A_23_P109720,1,0,0.0032414910858995136
A_23_P112957,1,0,0.3827660723933009
A_23_P113056,1,0,0.01242571582928147
A_23_P113549,1,0,0.002971366828741221
A_23_P113692,1,0,0.00945434900054025
A_23_P113738,1,0,0.004592112371690978
A_23_P113841,1,0,0.03862776877363587
A_23_P113952,1,0,0.004321988114532685
A_23_P116473,2,0,0.02106969205834684
A_23_P116523,3,0,0.06942193408968125
A_23_P117480,1,0,0.06807131280388978
A_23_P117828,1,0,0.007293354943273906
A_23_P118370,5,0,0.4900054024851432
A_23_P119152,1,0,0.007023230686115613
A_23_P11980,1,0,0.22042139384116693
