structure_id,structure_acronym,structure_name,number_of_donors,coordinate_donor_count,mni_x,mni_y,mni_z,parkinsons_expression_score,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05
4231,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",5,5,-5.096666666666667,-32.769999999999996,24.033333333333335,-0.01787768,-0.6218182,0.7362263773622638,0.9922007799220078,False
4230,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",6,6,-6.552777777777777,-32.025,38.78611111111111,-0.028736679,0.007785356,0.4970502949705029,0.8831087765009907,False
4090,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",5,5,-46.81333333333333,-30.53666666666667,44.763333333333335,-0.0313423,0.7044275,0.2390760923907609,0.6940597606905976,False
4288,Pu,"putamen, left",6,6,-27.371753246753247,-4.20116341991342,3.650847763347764,-0.034138218,-1.9498647,0.9733026697330268,0.9922007799220078,False
4258,DG,"dentate gyrus, left",6,6,-26.923333333333332,-28.236666666666665,-7.590000000000001,-0.039869443,1.4942734,0.0702929707029297,0.3649468386494684,False
4245,PHG-cos,"parahippocampal gyrus, left, bank of the cos",6,6,-28.540000000000003,-20.255,-23.641666666666666,-0.040387183,2.2346869,0.0122987701229877,0.2378762123787621,False
4214,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",6,6,-32.49444444444445,-83.72222222222223,24.53611111111111,-0.0420787,0.14190622,0.4413558644135586,0.8241645223232777,False
4669,SuM,"supramammillary nucleus, left",4,4,-6.0,-4.75,-9.0,-0.04660565,1.2185038,0.1162883711628837,0.5066850457811362,False
4207,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",5,5,-48.489999999999995,-79.89,5.4799999999999995,-0.05619587,0.1312065,0.4480551944805519,0.8282232382822323,False
4024,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",6,6,-21.495317460317462,32.45722222222222,46.979503968253965,-0.056218766,1.7074883,0.0455954404559544,0.2979987715514163,False
13005,LHM,"lateral hypothalamic area, mammillary region, left",6,6,-6.283333333333334,-9.416666666666666,-7.833333333333333,-0.057120107,-0.51212335,0.6941305869413059,0.9922007799220078,False
4121,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",6,6,-8.133333333333333,-61.78333333333333,36.954166666666666,-0.057805106,0.6857224,0.245975402459754,0.6940597606905976,False
4051,MOrG,"medial orbital gyrus, left",6,6,-14.194444444444445,40.64166666666667,-22.57777777777778,-0.061118428,1.3808268,0.0815918408159184,0.3929291281398176,False
9146,LPB,"lateral parabrachial nucleus, left",5,5,-7.040000000000001,-36.839999999999996,-26.1,-0.061413504,-0.35567796,0.6380361963803619,0.9894968130305613,False
4079,fro,"frontal operculum, left",6,6,-43.25,12.177777777777777,3.6777777777777776,-0.0615031,1.3516958,0.0884911508849115,0.4152277079984309,False
4200,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",6,6,-33.080555555555556,-63.13055555555555,-10.366666666666667,-0.062218104,-0.19431956,0.5740425957404259,0.937944598397303,False
4901,IRoG,"inferior rostral gyrus, left",5,5,-5.51,41.160000000000004,-12.919999999999998,-0.06613325,0.5513268,0.2900709929007099,0.7025107615820697,False
4432,ILr,"rostral group of intralaminar nuclei, left",6,6,-9.266666666666666,-16.133333333333333,10.661111111111111,-0.06859124,1.2645202,0.1070892910708929,0.4779839089261805,False
4186,Cun-pest,"cuneus, left, peristriate",6,6,-8.577777777777778,-76.17222222222223,16.997222222222224,-0.06986784,0.51786375,0.3032696730326967,0.7025107615820697,False
4251,S,"subiculum, left",6,6,-21.82166666666667,-26.89777777777778,-12.030000000000001,-0.071058206,3.0587502,0.0007999200079992,0.1463853614638536,False
9103,IC,"inferior colliculus, left",4,4,-2.15,-38.3625,-17.7125,-0.07289039,0.2968813,0.3768623137686231,0.7416598765655349,False
4194,LiG-str,"lingual gyrus, left, striate",6,6,-12.303571428571429,-72.10257936507936,2.3904761904761904,-0.07407796,-1.1184537,0.8672132786721328,0.9922007799220078,False
4150,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",6,6,-55.60916666666666,-38.47,-26.311666666666667,-0.079049096,0.3625851,0.358964103589641,0.7298936772989368,False
4031,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",6,6,-43.527222222222214,30.905833333333334,27.535416666666666,-0.07987378,0.61159545,0.2706729327067293,0.6940597606905976,False
4060,LOrG,"lateral orbital gyrus, left",6,6,-30.73888888888889,44.13333333333333,-13.805555555555557,-0.08052686,0.39620763,0.3446655334466553,0.7249861220774475,False
4048,GRe,"gyrus rectus, left",6,6,-6.591666666666666,40.65833333333333,-23.244444444444444,-0.081794985,1.7737156,0.0377962203779622,0.2935026497350264,False
4136,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",6,6,-57.32242063492063,-24.06785714285714,-2.2359126984126987,-0.08297628,0.623593,0.2676732326767323,0.6940597606905976,False
4087,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",6,6,-41.293055555555554,-18.622222222222224,50.515277777777776,-0.08587826,-1.4496378,0.925907409259074,0.9922007799220078,False
