gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome
KCNN3,1027251,CUST_15115_PI416261804,3757,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",3782.0,1
KCNS3,1054772,A_23_P120103,3765,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",3790.0,2
KCNS3,1054773,CUST_405_PI416408490,3765,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",3790.0,2
KCNS3,1054774,CUST_6474_PI416261804,3765,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",3790.0,2
KLHDC1,1035775,A_23_P422766,78916,kelch domain containing 1,122773.0,14
KLHDC1,1035776,A_32_P164513,78916,kelch domain containing 1,122773.0,14
KLHL7,1025738,A_23_P324994,35260,kelch-like 7 (Drosophila),55975.0,7
KLHL7,1025739,A_24_P295050,35260,kelch-like 7 (Drosophila),55975.0,7
KLHL7,1063321,A_23_P215517,35260,kelch-like 7 (Drosophila),55975.0,7
KNTC1,1048212,A_23_P136817,9591,kinetochore associated 1,9735.0,12
KNTC1,1048213,CUST_6725_PI416261804,9591,kinetochore associated 1,9735.0,12
KPNA1,1015121,CUST_209_PI417507815,3811,karyopherin alpha 1 (importin alpha 5),3836.0,3
KPNA1,1020579,A_23_P351055,3811,karyopherin alpha 1 (importin alpha 5),3836.0,3
KPNA3,1054722,A_23_P139950,3814,karyopherin alpha 3 (importin alpha 4),3839.0,13
KPNA3,1054723,CUST_9760_PI416261804,3814,karyopherin alpha 3 (importin alpha 4),3839.0,13
KRTCAP2,1033536,A_23_P149249,83539,keratinocyte associated protein 2,200185.0,1
KRTCAP2,1033537,CUST_1126_PI416261804,83539,keratinocyte associated protein 2,200185.0,1
KTN1,1011820,CUST_10474_PI416261804,3870,kinectin 1 (kinesin receptor),3895.0,14
KTN1,1017307,A_23_P106131,3870,kinectin 1 (kinesin receptor),3895.0,14
KTN1,1054651,CUST_10471_PI416261804,3870,kinectin 1 (kinesin receptor),3895.0,14
LAMP3,1044682,A_23_P29773,26819,lysosomal-associated membrane protein 3,27074.0,3
LAMP3,1044683,CUST_14290_PI416261804,26819,lysosomal-associated membrane protein 3,27074.0,3
LHFPL2,1047730,A_23_P255104,10038,lipoma HMGIC fusion partner-like 2,10184.0,5
LHFPL2,1047731,A_24_P349092,10038,lipoma HMGIC fusion partner-like 2,10184.0,5
LINC00326,1012240,CUST_11595_PI416261804,94661,long intergenic non-protein coding RNA 326,285735.0,6
LINC00326,1017951,A_24_P601831,94661,long intergenic non-protein coding RNA 326,285735.0,6
LMNA,1023738,A_24_P162718,3975,lamin A/C,4000.0,1
LMNA,1023739,CUST_15490_PI416261804,3975,lamin A/C,4000.0,1
LMNA,1054551,A_23_P34835,3975,lamin A/C,4000.0,1
LRP1B,1043072,A_23_P5342,32833,low density lipoprotein receptor-related protein 1B,53353.0,2
LRP1B,1043073,CUST_16397_PI416261804,32833,low density lipoprotein receptor-related protein 1B,53353.0,2
LRP8,1024086,CUST_439_PI416408490,7758,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",7804.0,1
LRP8,1050104,A_23_P200222,7758,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",7804.0,1
LRP8,1050105,A_23_P34325,7758,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",7804.0,1
LRRC37A4P,1015072,A_32_P5571,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRC37A4P,1015124,A_24_P238143,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRC37A4P,1015247,A_24_P666482,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRC37A4P,1015252,A_23_P4101,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRC37A4P,1020297,A_24_P579984,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRC37A4P,1022598,CUST_4146_PI416261804,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRC37A4P,1070359,A_32_P116481,34362,"leucine rich repeat containing 37, member A4, pseudogene",55073.0,17
LRRK2,1022614,A_23_P128447,78809,leucine-rich repeat kinase 2,120892.0,12
LRRK2,1022615,CUST_15588_PI416261804,78809,leucine-rich repeat kinase 2,120892.0,12
LRRK2,1022616,CUST_442_PI416408490,78809,leucine-rich repeat kinase 2,120892.0,12
LRRN2,1024046,A_23_P11843,10299,leucine rich repeat neuronal 2,10446.0,1
LRRN2,1024047,CUST_1890_PI416261804,10299,leucine rich repeat neuronal 2,10446.0,1
LRRN2,1047393,CUST_1370_PI416261804,10299,leucine rich repeat neuronal 2,10446.0,1
MAP4K4,1030502,A_23_P90804,9311,mitogen-activated protein kinase kinase kinase kinase 4,9448.0,2
MAP4K4,1030503,A_24_P157165,9311,mitogen-activated protein kinase kinase kinase kinase 4,9448.0,2
MAP4K4,1030504,A_23_P108604,9311,mitogen-activated protein kinase kinase kinase kinase 4,9448.0,2
MAP4K4,1030505,A_23_P102192,9311,mitogen-activated protein kinase kinase kinase kinase 4,9448.0,2
MAPT,1010837,A_24_P224488,4112,microtubule-associated protein tau,4137.0,17
MAPT,1012542,A_32_P143793,4112,microtubule-associated protein tau,4137.0,17
MAPT,1014908,A_23_P207699,4112,microtubule-associated protein tau,4137.0,17
MAPT,1020634,CUST_449_PI416408490,4112,microtubule-associated protein tau,4137.0,17
MAPT-AS1,1063807,A_24_P127174,1006871,MAPT antisense RNA 1 (non-protein coding),100128977.0,17
MBNL2,1026724,A_24_P56317,10005,muscleblind-like splicing regulator 2,10150.0,13
MBNL2,1026725,A_23_P204979,10005,muscleblind-like splicing regulator 2,10150.0,13
MCCC1,1041094,A_23_P58036,36201,methylcrotonoyl-CoA carboxylase 1 (alpha),56922.0,3
MCCC1,1041095,CUST_7712_PI416261804,36201,methylcrotonoyl-CoA carboxylase 1 (alpha),56922.0,3
MED12L,1036005,A_32_P701268,78238,mediator complex subunit 12-like,116931.0,3
MED12L,1036006,CUST_12507_PI416261804,78238,mediator complex subunit 12-like,116931.0,3
MED13,1047969,A_23_P27247,9825,mediator complex subunit 13,9969.0,17
MED13,1047970,A_24_P17077,9825,mediator complex subunit 13,9969.0,17
METTL13,1029408,A_23_P201672,31083,methyltransferase like 13,51603.0,1
METTL13,1029409,A_23_P201676,31083,methyltransferase like 13,51603.0,1
MIPOL1,1034741,A_23_P300867,80427,mirror-image polydactyly 1,145282.0,14
MIPOL1,1034742,CUST_10377_PI416261804,80427,mirror-image polydactyly 1,145282.0,14
MMRN1,1046181,A_23_P18539,22671,multimerin 1,22915.0,4
MMRN1,1046182,CUST_12208_PI416261804,22671,multimerin 1,22915.0,4
MORN1,1038820,A_24_P165205,55708,MORN repeat containing 1,79906.0,1
MORN1,1038821,CUST_89_PI416261804,55708,MORN repeat containing 1,79906.0,1
MRPL1,1039604,A_23_P84821,41532,mitochondrial ribosomal protein L1,65008.0,4
MRPL1,1039605,CUST_5113_PI416261804,41532,mitochondrial ribosomal protein L1,65008.0,4
MSR1,1023451,A_24_P372223,4455,macrophage scavenger receptor 1,4481.0,8
MSR1,1023452,A_23_P216176,4455,macrophage scavenger receptor 1,4481.0,8
MSR1,1023453,CUST_15763_PI416261804,4455,macrophage scavenger receptor 1,4481.0,8
MSR1,1054033,A_23_P392942,4455,macrophage scavenger receptor 1,4481.0,8
MTF2,1046288,A_23_P46333,22579,metal response element binding transcription factor 2,22823.0,1
MTF2,1046289,CUST_2197_PI416261804,22579,metal response element binding transcription factor 2,22823.0,1
MUC12,1015514,CUST_4556_PI416261804,9926,"mucin 12, cell surface associated",10071.0,7
MUC12,1025233,CUST_4201_PI416261804,9926,"mucin 12, cell surface associated",10071.0,7
MUC12,1025234,CUST_4195_PI416261804,9926,"mucin 12, cell surface associated",10071.0,7
MUC12,1025235,CUST_4182_PI416261804,9926,"mucin 12, cell surface associated",10071.0,7
MUC12,1047868,CUST_4614_PI416261804,9926,"mucin 12, cell surface associated",10071.0,7
MUC19,1069887,A_23_P434374,93967,"mucin 19, oligomeric",283463.0,12
MYLK2,1037087,A_23_P80008,59536,myosin light chain kinase 2,85366.0,20
MYLK2,1037088,CUST_9194_PI416261804,59536,myosin light chain kinase 2,85366.0,20
NDUFAF2,1036662,A_32_P49555,60119,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 2",91942.0,5
NDUFAF2,1036663,A_23_P360983,60119,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 2",91942.0,5
NDUFAF2,1036664,A_23_P345942,60119,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 2",91942.0,5
NOD2,1039983,A_23_P420863,40760,nucleotide-binding oligomerization domain containing 2,64127.0,16
NOD2,1039984,CUST_15993_PI416261804,40760,nucleotide-binding oligomerization domain containing 2,64127.0,16
NOL4,1049390,A_23_P416766,8644,nucleolar protein 4,8715.0,18
NOL4,1049391,A_32_P126733,8644,nucleolar protein 4,8715.0,18
NRBP1,1044129,A_23_P165442,29692,nuclear receptor binding protein 1,29959.0,2
NRBP1,1044130,CUST_684_PI416261804,29692,nuclear receptor binding protein 1,29959.0,2
NSF,1053553,A_23_P15714,4874,N-ethylmaleimide-sensitive factor,4905.0,17
NSF,1053554,A_24_P221634,4874,N-ethylmaleimide-sensitive factor,4905.0,17
NUCKS1,1039781,A_24_P374652,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
NUCKS1,1039782,A_24_P145122,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
NUCKS1,1039783,A_23_P149724,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
NUCKS1,1039784,A_24_P925222,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
NUCKS1,1039785,A_24_P919789,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
NUCKS1,1039786,A_24_P216968,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
NUCKS1,1039787,A_24_P216964,41285,nuclear casein kinase and cyclin-dependent kinase substrate 1,64710.0,1
P2RX5,1029745,A_23_P433785,4994,"purinergic receptor P2X, ligand-gated ion channel, 5",5026.0,17
P2RX5,1029961,CUST_6425_PI416261804,4994,"purinergic receptor P2X, ligand-gated ion channel, 5",5026.0,17
P2RX5,1029962,A_23_P413760,4994,"purinergic receptor P2X, ligand-gated ion channel, 5",5026.0,17
PAM,1053360,A_23_P213678,5034,peptidylglycine alpha-amidating monooxygenase,5066.0,5
PAM,1053361,A_32_P121944,5034,peptidylglycine alpha-amidating monooxygenase,5066.0,5
PAM,1053362,A_24_P97703,5034,peptidylglycine alpha-amidating monooxygenase,5066.0,5
PAM,1053363,A_24_P933704,5034,peptidylglycine alpha-amidating monooxygenase,5066.0,5
PARP9,1012605,CUST_13710_PI416261804,57908,"poly (ADP-ribose) polymerase family, member 9",83666.0,3
PARP9,1014893,CUST_1245_PI416379584,57908,"poly (ADP-ribose) polymerase family, member 9",83666.0,3
PARP9,1017969,A_23_P69383,57908,"poly (ADP-ribose) polymerase family, member 9",83666.0,3
PARP9,1019052,CUST_1206_PI416573500,57908,"poly (ADP-ribose) polymerase family, member 9",83666.0,3
PBXIP1,1040725,A_24_P79808,36601,pre-B-cell leukemia homeobox interacting protein 1,57326.0,1
PCGF3,1047531,A_24_P388632,10189,polycomb group ring finger 3,10336.0,4
PCGF3,1047532,A_23_P396777,10189,polycomb group ring finger 3,10336.0,4
PCGF3,1047533,A_24_P566968,10189,polycomb group ring finger 3,10336.0,4
PCGF3,1047534,A_23_P21346,10189,polycomb group ring finger 3,10336.0,4
PDE5A,1023660,A_24_P911678,8585,"phosphodiesterase 5A, cGMP-specific",8654.0,4
PDE5A,1029314,A_23_P500844,8585,"phosphodiesterase 5A, cGMP-specific",8654.0,4
PDE5A,1029315,CUST_11485_PI416261804,8585,"phosphodiesterase 5A, cGMP-specific",8654.0,4
PDGFB,1025515,A_24_P339944,5123,platelet-derived growth factor beta polypeptide,5155.0,22
PDGFB,1025516,CUST_14345_PI416261804,5123,platelet-derived growth factor beta polypeptide,5155.0,22
PDLIM2,1030473,CUST_1291_PI416379584,40869,PDZ and LIM domain 2 (mystique),64236.0,8
PDLIM2,1030474,CUST_14277_PI416261804,40869,PDZ and LIM domain 2 (mystique),64236.0,8
PDLIM2,1030475,CUST_1251_PI416573500,40869,PDZ and LIM domain 2 (mystique),64236.0,8
PDLIM2,1030506,A_24_P160380,40869,PDZ and LIM domain 2 (mystique),64236.0,8
PDLIM2,1030507,A_23_P20285,40869,PDZ and LIM domain 2 (mystique),64236.0,8
PDLIM2,1063413,A_24_P290609,40869,PDZ and LIM domain 2 (mystique),64236.0,8
PIK3CA,1053064,A_23_P92057,5258,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",5290.0,3
PIK3CA,1053065,CUST_15807_PI416261804,5258,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",5290.0,3
PITPNM2,1040522,A_23_P403542,36878,"phosphatidylinositol transfer protein, membrane-associated 2",57605.0,12
PITPNM2,1040523,A_23_P401361,36878,"phosphatidylinositol transfer protein, membrane-associated 2",57605.0,12
PKP2,1028774,A_23_P162466,5286,plakophilin 2,5318.0,12
PKP2,1028775,CUST_14247_PI416261804,5286,plakophilin 2,5318.0,12
PKP2,1068149,A_24_P133288,5286,plakophilin 2,5318.0,12
PLEKHM1,1014469,A_23_P164112,9698,"pleckstrin homology domain containing, family M (with RUN domain) member 1",9842.0,17
PLEKHM1,1015773,A_23_P152727,9698,"pleckstrin homology domain containing, family M (with RUN domain) member 1",9842.0,17
PLEKHM1,1019528,A_24_P49514,9698,"pleckstrin homology domain containing, family M (with RUN domain) member 1",9842.0,17
PLEKHM1,1020046,CUST_9651_PI416261804,9698,"pleckstrin homology domain containing, family M (with RUN domain) member 1",9842.0,17
PMVK,1047114,A_23_P114774,10507,phosphomevalonate kinase,10654.0,1
PMVK,1047115,CUST_16745_PI416261804,10507,phosphomevalonate kinase,10654.0,1
PRDM15,1021358,CUST_4340_PI416261804,40613,PR domain containing 15,63977.0,21
PRDM15,1021359,A_24_P194337,40613,PR domain containing 15,63977.0,21
PRDM15,1021360,CUST_2069_PI416261804,40613,PR domain containing 15,63977.0,21
PRDM15,1065382,A_32_P145989,40613,PR domain containing 15,63977.0,21
RAB25,1040843,A_23_P115091,36389,"RAB25, member RAS oncogene family",57111.0,1
RAB25,1040844,CUST_10373_PI416261804,36389,"RAB25, member RAS oncogene family",57111.0,1
RABEP2,1038854,A_23_P61100,55677,"rabaptin, RAB GTPase binding effector protein 2",79874.0,16
RABEP2,1038855,CUST_5307_PI416261804,55677,"rabaptin, RAB GTPase binding effector protein 2",79874.0,16
RBMS3,1027165,A_32_P228618,27048,"RNA binding motif, single stranded interacting protein 3",27303.0,3
RBMS3,1027166,A_23_P10995,27048,"RNA binding motif, single stranded interacting protein 3",27303.0,3
RBMS3,1027167,A_24_P359942,27048,"RNA binding motif, single stranded interacting protein 3",27303.0,3
RILPL2,1033620,A_23_P76109,83406,Rab interacting lysosomal protein-like 2,196383.0,12
RILPL2,1033621,CUST_2047_PI416261804,83406,Rab interacting lysosomal protein-like 2,196383.0,12
RIMS1,1046115,A_23_P432110,22754,regulating synaptic membrane exocytosis 1,22999.0,6
RIMS1,1046116,CUST_13778_PI416261804,22754,regulating synaptic membrane exocytosis 1,22999.0,6
RIMS2,1013694,A_23_P147786,9555,regulating synaptic membrane exocytosis 2,9699.0,8
RIMS2,1014746,A_24_P222000,9555,regulating synaptic membrane exocytosis 2,9699.0,8
RIMS2,1015006,A_24_P332816,9555,regulating synaptic membrane exocytosis 2,9699.0,8
RIMS2,1020609,CUST_38_PI416408490,9555,regulating synaptic membrane exocytosis 2,9699.0,8
RIT1,1052172,A_23_P316601,5984,Ras-like without CAAX 1,6016.0,1
RIT1,1052174,A_23_P115052,5984,Ras-like without CAAX 1,6016.0,1
RIT2,1052175,A_23_P170050,5982,Ras-like without CAAX 2,6014.0,18
RIT2,1052176,CUST_6645_PI416261804,5982,Ras-like without CAAX 2,6014.0,18
RNF141,1043920,A_24_P372625,30346,ring finger protein 141,50862.0,11
RNF141,1043922,A_23_P139066,30346,ring finger protein 141,50862.0,11
RORA,1024340,A_23_P26124,6063,RAR-related orphan receptor A,6095.0,15
